time,scene,character,activeBody,headGroup_rx,headGroup_ry,headGroup_rz,rightShoulder_rx,rightShoulder_ry,rightShoulder_rz,rightElbow_rx,rightElbow_ry,rightElbow_rz,rightWrist_rx,rightWrist_ry,rightWrist_rz,leftShoulder_rx,leftShoulder_ry,leftShoulder_rz,leftElbow_rx,leftElbow_ry,leftElbow_rz,leftWrist_rx,leftWrist_ry,leftWrist_rz,rightHip_rx,rightHip_ry,rightHip_rz,rightKnee_rx,rightKnee_ry,rightKnee_rz,rightAnkle_rx,rightAnkle_ry,rightAnkle_rz,leftHip_rx,leftHip_ry,leftHip_rz,leftKnee_rx,leftKnee_ry,leftKnee_rz,leftAnkle_rx,leftAnkle_ry,leftAnkle_rz,mesh_x,mesh_y,mesh_z,mesh_rx,mesh_ry,mesh_rz
2.500,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.500,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.600,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion",0.000,0.000,0.000,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.600,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion",0.000,0.000,0.000,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.700,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion",0.000,0.000,0.000,-0.557,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.557,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.700,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion",0.000,0.000,0.000,-0.557,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.557,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.800,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion",0.000,0.000,0.000,-1.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.800,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion",0.000,0.000,0.000,-1.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.900,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion",0.000,0.000,0.000,-1.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.900,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion",0.000,0.000,0.000,-1.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
