type,severity,time,character,detail,value,threshold
"dialogue_face_error","high",5.133,"Kagome","Kagome face error up to 0.574 rad while speaking to Inuyasha (entry #2)",0.574,0.500
"dialogue_face_error","medium",16.300,"Kagome","Kagome face error up to 1.076 rad while listening to Yokai (entry #4)",1.076,0.500
"dialogue_too_far","medium",15.000,"Yokai","Max distance 7.531m to Kagome during entry #4 (too far, max 4.0m)",7.531,4.000
"dialogue_face_error","high",36.100,"Inuyasha","Inuyasha face error up to 0.888 rad while speaking to Kagome (entry #8)",0.888,0.500
"dialogue_face_error","medium",35.367,"Kagome","Kagome face error up to 0.826 rad while listening to Inuyasha (entry #8)",0.826,0.500
"dialogue_face_error","high",41.217,"Kagome","Kagome face error up to 0.927 rad while speaking to Inuyasha (entry #9)",0.927,0.500
"dialogue_face_error","medium",46.483,"Kagome","Kagome face error up to 1.128 rad while listening to Yokai (entry #10)",1.128,0.500
"dialogue_too_far","medium",45.000,"Yokai","Max distance 10.494m to Kagome during entry #10 (too far, max 4.0m)",10.494,4.000
"dialogue_face_error","high",51.450,"Inuyasha","Inuyasha face error up to 0.588 rad while speaking to Kagome (entry #11)",0.588,0.500
"dialogue_face_error","medium",54.733,"Kagome","Kagome face error up to 0.827 rad while listening to Inuyasha (entry #11)",0.827,0.500
"dialogue_face_error","high",57.000,"Kagome","Kagome face error up to 0.828 rad while speaking to Inuyasha (entry #12)",0.828,0.500
"dialogue_face_error","medium",64.167,"Kagome","Kagome face error up to 0.827 rad while listening to Inuyasha (entry #13)",0.827,0.500
