time,scene,character,x,y,z,yaw,headX,headY,headZ,headYaw,headLocalYaw,headLocalPitch,headLocalRoll,faceDirX,faceDirY,faceDirZ,facingDir,inCombat,isSpeaking,isListener,dialogueActive,activeBody,activeFace,activeFx
0.000,"FeudalForestScene","Kagome",-1.400,0.010,1.400,1.880,-1.400,1.610,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"","",""
0.000,"FeudalForestScene","Inuyasha",1.100,0.010,0.600,-1.261,1.100,1.790,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"","",""
0.000,"FeudalForestScene","Yokai",0.000,0.010,-6.000,-0.187,0.000,1.640,-6.000,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"","",""
0.017,"FeudalForestScene","Kagome",-1.400,0.010,1.400,1.880,-1.400,1.610,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"","",""
0.017,"FeudalForestScene","Inuyasha",1.100,0.010,0.600,-1.261,1.100,1.790,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"","",""
0.017,"FeudalForestScene","Yokai",0.000,0.010,-6.000,-0.187,0.000,1.641,-6.000,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"","",""
0.033,"FeudalForestScene","Kagome",-1.400,0.011,1.400,1.880,-1.400,1.611,1.400,1.881,0.000,0.000,0.000,0.952,-0.000,-0.305,,0,0,0,0,"","",""
0.033,"FeudalForestScene","Inuyasha",1.100,0.011,0.600,-1.261,1.100,1.791,0.600,-1.261,0.000,0.000,0.000,-0.952,-0.000,0.305,,0,0,0,0,"","",""
0.033,"FeudalForestScene","Yokai",0.000,0.011,-6.000,-0.187,0.000,1.643,-6.000,-0.187,0.000,0.000,0.000,-0.186,-0.000,0.983,,0,0,0,0,"","",""
0.050,"FeudalForestScene","Kagome",-1.400,0.011,1.400,1.880,-1.400,1.611,1.400,1.881,0.000,0.001,0.000,0.952,-0.001,-0.305,,0,0,0,0,"","",""
0.050,"FeudalForestScene","Inuyasha",1.100,0.011,0.600,-1.261,1.100,1.791,0.600,-1.261,0.000,0.001,0.000,-0.952,-0.001,0.305,,0,0,0,0,"","",""
0.050,"FeudalForestScene","Yokai",0.000,0.011,-6.000,-0.187,0.000,1.645,-6.000,-0.187,0.000,0.001,0.000,-0.186,-0.001,0.983,,0,0,0,0,"","",""
0.067,"FeudalForestScene","Kagome",-1.400,0.012,1.400,1.880,-1.400,1.612,1.400,1.881,0.000,0.001,0.000,0.952,-0.001,-0.305,,0,0,0,0,"","",""
0.067,"FeudalForestScene","Inuyasha",1.100,0.012,0.600,-1.261,1.100,1.792,0.600,-1.261,0.000,0.001,0.000,-0.952,-0.001,0.305,,0,0,0,0,"","",""
0.067,"FeudalForestScene","Yokai",0.000,0.012,-6.000,-0.187,0.000,1.647,-6.000,-0.186,0.000,0.001,0.000,-0.185,-0.001,0.983,,0,0,0,0,"","",""
0.083,"FeudalForestScene","Kagome",-1.400,0.012,1.400,1.880,-1.400,1.612,1.400,1.881,0.001,0.001,0.000,0.952,-0.001,-0.305,,0,0,0,0,"","",""
0.083,"FeudalForestScene","Inuyasha",1.100,0.012,0.600,-1.261,1.100,1.792,0.600,-1.260,0.001,0.001,0.000,-0.952,-0.001,0.305,,0,0,0,0,"","",""
0.083,"FeudalForestScene","Yokai",0.000,0.012,-6.000,-0.187,0.000,1.649,-6.000,-0.186,0.001,0.001,0.000,-0.185,-0.001,0.983,,0,0,0,0,"","",""
0.100,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.881,0.001,0.001,0.000,0.952,-0.001,-0.306,,0,0,0,0,"","",""
0.100,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.600,-1.260,0.001,0.001,0.000,-0.952,-0.001,0.306,,0,0,0,0,"","",""
0.100,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,0.000,1.651,-6.000,-0.186,0.001,0.001,0.000,-0.185,-0.001,0.983,,0,0,0,0,"","",""
0.117,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.401,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.117,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.599,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.117,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,-0.000,1.652,-6.000,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.133,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.398,1.613,1.406,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.133,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.099,1.793,0.597,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.133,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,-0.002,1.653,-6.000,-0.187,0.000,0.000,0.000,-0.186,-0.000,0.983,,0,0,0,0,"SwayBody","",""
0.150,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.396,1.613,1.413,1.880,0.000,0.000,0.000,0.952,-0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.150,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.098,1.793,0.594,-1.261,0.000,0.000,0.000,-0.952,-0.000,0.305,,0,0,0,0,"SwayBody","",""
0.150,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,-0.003,1.654,-6.001,-0.187,0.000,0.000,0.000,-0.186,-0.000,0.983,,0,0,0,0,"SwayBody","",""
0.167,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.167,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.097,1.793,0.589,-1.261,0.000,0.000,0.000,-0.952,-0.000,0.305,,0,0,0,0,"SwayBody","",""
0.167,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,-0.006,1.656,-6.001,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.183,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.183,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.095,1.793,0.583,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.183,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,-0.010,1.657,-6.002,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.200,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.200,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.200,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,-0.014,1.658,-6.003,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.217,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
